id_municipio;Entidad;vozfijat212;vozfijat213;vozfijat214;vozfijat215;vozfijat216;vozfijat217;vozfijat218;vozfijat219;vozfijat220;vozfijat221;vozfijat222;vozfijat223;vozfijat224;vozfijat225;vozfijat226;vozfijat227;vozfijat228;vozfijat229;vozfijat230;vozfijat231;vozfijat232;vozfijat233;vozfijat234;vozfijat235
8372;Juan de Acosta;.0057531055;.0055265133;.0053015761;.0050801509;.0048642699;.0046561141;.0044578328;.0042714728;.0040990193;.0039422368;.0038024324;.0036804334;.0035766684;.0034911253;.0034233353;.0033723474;.0033366538;.0033146944;.0033047989;.0033051202;.0033136355;.0033281031;.0033458702;.0033637506
8421;Luruaco;.0039358395;.0037992592;.0036631094;.0035278467;.0033939595;.0032619727;.0031324541;.0030060171;.0028833735;.0027652632;.0026522435;.0025447342;.0024431772;.0023480037;.0022596021;.0021782084;.0021039373;.0020366427;.0019758705;.0019208286;.0018704224;.0018232407;.0017776521;.001731832
8433;Malambo;.072164267;.073799461;.075442344;.077055097;.078606419;.080071881;.081432983;.08267618;.083792008;.084773317;.08561568;.086316794;.086877435;.087301314;.08759474;.087766789;.087829031;.087794475;.087677069;.087491922;.087254502;.086982235;.086695038;.086403862
8520;Palmar de Varela;.01019492;.0099528227;.0097110523;.0094698751;.0092294654;.0089900438;.0087519707;.0085156616;.0082815522;.0080500906;.0078215301;.0075960616;.0073738815;.0071550249;.0069394517;.0067270021;.0065174042;.0063102772;.0061052325;.0059018987;.0056998506;.0054986551;.0052979221;.0050973753
8549;Piojó;.0028649291;.0025949907;.002332075;.0020823167;.0018508822;.0016421259;.0014594895;.0013056323;.0011825458;.0010916491;.001033744;.0010090718;.00101735;.0010577864;.0011290752;.0012293707;.0013562432;.0015066158;.0016766853;.0018618281;.0020564941;.0022540905;.0024468601;.002637981
8558;Polonuevo;.0062446031;.0060430616;.0058422666;.0056427824;.0054450245;.0052493787;.0050562723;.0048659607;.0046785958;.0044942996;.004313027;.0041346345;.0039590285;.0037861071;.003615784;.0034479694;.0032827111;.0031200119;.0029597247;.0028014902;.0026447512;.0024890099;.0023337612;.0021787083
8560;Ponedera;.0029012817;.0027535043;.0026076045;.0024651692;.0023275791;.0021960069;.0020714109;.0019544684;.0018456794;.0017454341;.0016539072;.0015711167;.0014970336;.0014315462;.0013744745;.0013255808;.0012846012;.0012511358;.0012246158;.0012041852;.0011887151;.0011767608;.0011665694;.0011560587
8573;Puerto Colombia;.09497907;.099185556;.10339606;.10761791;.11186022;.1161331;.12044687;.12480599;.12921467;.13367814;.13820113;.14278825;.1474459;.15218189;.15700117;.16190107;.16686933;.17188366;.17691928;.18195966;.18699636;.19202587;.19704725;.20206408
8606;Repelón;.0025963665;.0024972351;.002398592;.0023009237;.0022046485;.0021100745;.002017406;.0019266766;.0018378273;.0017507594;.0016652661;.0015810822;.0014979352;.0014155699;.001333774;.0012523778;.0011712559;.0010903511;.0010096516;.00092916883;.0008488922;.00076876685;.00068871962;.00060870691
8634;Sabanagrande;.013321234;.013019798;.012718469;.012417497;.012117153;.011817727;.011519554;.011222996;.010928529;.01063669;.010347902;.010062539;.0097809937;.0095035862;.0092305867;.0089622056;.008698632;.0084399469;.0081860432;.0079364544;.0076903775;.0074467612;.0072043841;.0069618295
8638;Sabanalarga;.024603946;.024273466;.023943348;.023613909;.023286402;.022962863;.022645792;.022337181;.02203811;.02174842;.021466345;.021189373;.020915125;.020641193;.020364942;.020083791;.019796565;.019503042;.019203782;.018899739;.018592063;.018281922;.017970312;.017657971
