id_municipio;tvt212;tvt213;tvt214;tvt215;tvt216;tvt217;tvt218;tvt219;tvt220;tvt221;tvt222;tvt223;tvt224;tvt225;tvt226;tvt227;tvt228;tvt229;tvt230;tvt231;tvt232;tvt233;tvt234;tvt235
52354;.00060953409;.0014779251;.0023482186;.0032243554;.0041115922;.0050157742;.0059429849;.006899971;.0078938724;.0089318445;.010021342;.011169997;.012384662;.013671122;.01503286;.016470769;.017982855;.019562732;.021199135;.022874542;.024570402;.026273334;.027976347;.029678177
52356;.013654179;.014014441;.014374454;.014733397;.015090195;.015444529;.01579711;.016150538;.016508615;.016874602;.017249668;.017633041;.018022804;.018416559;.018812705;.01921092;.019611994;.020017451;.020428153;.020843852;.021263672;.021686176;.022109736;.022533556
52378;.00320621;.003585601;.003964127;.0043400265;.0047110603;.0050752386;.0054313447;.0057794293;.0061202743;.0064548296;.0067841029;.0071083982;.0074273474;.0077404971;.0080472091;.00834643;.008636632;.008916894;.0091874357;.0094494754;.0097050257;.0099560404;.010204152;.010451063
52381;.00070135586;.0014850599;.0022694599;.0030559693;.0038468048;.004644122;.0054498478;.0062658284;.0070934035;.0079354886;.00879627;.0096808253;.010594277;.011540864;.012523714;.013544136;.014601539;.015693815;.016817745;.017969001;.019142596;.020331718;.021527955;.022726323
52385;.0026295925;.0030347493;.0034382627;.0038365922;.0042240489;.0045925458;.0049313558;.0052268817;.0054687862;.0056496146;.0057646665;.0058111567;.00578816;.0056963884;.0055380082;.0053170426;.0050391634;.0047120685;.0043458906;.0039530946;.0035434272;.0031241663;.0027003733;.0022751587
52390;.0041840067;.0039481646;.0037123198;.0034770826;.0032444466;.0030176837;.0027980374;.0025848653;.0023757764;.0021667639;.0019553076;.0017406251;.001523723;.0013076485;.0010944966;.00088554516;.00068138778;.00048206479;.00028719052;.000096078053;-.000092139016;-.00027838716;-.00046353522;-.00064827816
52399;.024965165;.025627313;.026284669;.026928665;.027549164;.028137011;.028685194;.029190447;.029653888;.030082326;.030480653;.03085079;.031191949;.031502325;.031780683;.032028362;.032248788;.032446969;.032628044;.032796204;.032955188;.033107698;.033256024;.033402558
52405;.0030903281;.0033846556;.0036786494;.0039731842;.0042712656;.0045778328;.0048951535;.0052226353;.0055566262;.0058902097;.0062172818;.0065328716;.0068336027;.0071176998;.007384738;.0076354854;.0078714481;.0080945147;.0083064372;.0085090268;.0087046614;.0088959215;.0090847947;.0092729283
52411;-.0014992674;-.0010778375;-.00065481768;-.0002273477;.00020850012;.00065751729;.0011250895;.0016172827;.002140312;.0027004206;.0033033125;.003954052;.0046565067;.0054129441;.0062234085;.0070853774;.0079932567;.0089405049;.0099195251;.01092077;.011934139;.012952177;.013970588;.014988359
52418;-.0003950297;-.00035305994;-.00031084326;-.00026791217;-.00022360477;-.00017709182;-.00012740427;-.000073462434;-.000014106936;.000051867461;.00012567484;.00020849683;.00030143658;.00040546682;.00052137201;.00064968318;.00079060532;.00094393763;.0011089849;.0012845877;.0014690177;.0016597441;.0018534104;.0020479925
52435;-.00022935719;-.00019790683;-.00016631314;-.00013430906;-.0001015236;-.000067501838;-.000031725391;6.3663083e-06;.00004735366;.000091813083;.00014029139;.00019327804;.00025117479;.00031426258;.0003826654;.00045631081;.00053488719;.00061779778;.00070411141;.00079251092;.00088232156;.00097337714;.0010649601;.0011567578
52480;-.0021565482;-.00019552957;.0017719181;.0037586084;.0057823532;.0078652306;.010031634;.012307606;.014718545;.017291281;.020052405;.023025848;.026231509;.029683499;.033388227;.037346564;.041551463;.045986097;.050629258;.055454392;.060428631;.065510057;.070649989;.075810172
52506;.000028124759;.00011531536;.00020270635;.00029071621;.00037999899;.00047131634;.00056555372;.00066380732;.00076725223;.00087708095;.00099436601;.0011199192;.0012545774;.001399051;.0015538397;.0017190692;.0018943949;.0020789683;.0022717551;.0024713476;.0026757;.0028827856;.0030909637;.0032994142
52560;.0011623525;.001229765;.0012970557;.0013641423;.0014308903;.0014972251;.0015631934;.001629127;.0016954512;.0017626458;.0018312057;.0019016524;.0019744418;.0020499232;.0021282434;.0022093027;.0022926559;.0023775673;.0024632739;.0025489349;.0026342082;.0027188875;.0028028521;.0028863864
52565;.00015494019;.00016989227;.00018474751;.00019930289;.00021333671;.00022664743;.00023904449;.00025038747;.00026057786;.00026955132;.00027722324;.00028348283;.00028823514;.00029144372;.00029317412;.00029354403;.00029272158;.00029092445;.00028837321;.0002852919;.00028190919;.00027841362;.00027486347;.00027128053
52573;.0034569337;.0040234393;.0045901947;.005158226;.0057297195;.0063077454;.0068971589;.0075043244;.0081362408;.0088001741;.0095031215;.01025163;.011051368;.01190711;.012822253;.013798439;.014834845;.015927959;.017071394;.018254917;.01946367;.020684697;.021909267;.023133961
52585;.033886764;.032159537;.030435972;.028723262;.027032113;.025371494;.023747159;.022165613;.020635627;.019163905;.017754922;.016412059;.015137192;.013929637;.012787046;.01170476;.010676299;.009693996;.0087497924;.0078352401;.0069422149;.0060629719;.005190792;.004321008
